method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.898463761189,0.3627440185093631,0.5278879443262389,18.63255491197036,9.028134372608166,-4.870761336775458,-4.870761336775458,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.07603523107334605,0.07559032121643992,0.0837374418965004,2.450530032077644,2.4361910874788686,2.698763629438929,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.53756414722041,79.81454636366313,548.0891052297756,0.015323821994611178,0.02778128035820932,2.823196380556942,2.452405715392184,-4.946366657936625,-4.946366657936625,29998.96449279785,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.8984637611889,0.3627440185093631,0.5278879443262389,18.632554911970253,9.028134372608166,-4.870761336775497,-4.870761336775497,29998.96449279785,0.07559032121643992,2.4361910874788686,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077622,4.340968239077622,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.07616016998694108,0.07573254869066376,0.08384335339036582,2.4545566728284887,2.440774919106024,2.702177037839162,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.48352555780533,79.95176077137336,562.3886504391646,0.02811628731891192,0.01975665604050184,1.5618205753398302,2.4643306696475786,4.091274345156893,4.091274345156893,30000.8563079834,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077603,4.340968239077603,30000.8563079834,0.07573254869066376,2.440774919106024,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.214125298866164,0.20502275927606847,0.2761161673279983,9.065040534984124,8.679682565643526,11.689437270825396,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.80522777181062,80.3342347243152,518.3099381781736,0.46004130935924464,0.6457595188960534,9.126055887469466,9.059450007869547,7.667885670259639,7.667885670259639,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.07602722904378266,0.0755707327507839,0.08367404851548138,2.450272135659289,2.4355597732486785,2.696720532024361,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.39577716569804,79.73041613773347,508.22397952139784,0.050590703246669165,0.04194093231433076,-0.9599027693063372,2.464942831803888,7.423219307612666,7.423219307612666,29999.939224243164,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.214125298866164,0.20502275927606847,0.2761161673279983,9.065040534984124,8.679682565643526,11.689437270825396,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.80522777181064,80.3342347243152,518.3099381781736,0.46004130935925786,0.6457595188960534,9.126055887469466,9.059450007869547,7.6678856702596105,7.6678856702596105,29999.939224243164,0.0755707327507839,2.4355597732486785,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.85850524902,0.21374882425485628,0.20415900231008294,0.2755658424481627,9.049102401424157,8.643115228899596,11.666139148793404,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,64.99905059938528,80.43754062288401,520.4381986886406,0.3002291713265679,0.4412677800826156,23.440883156814415,9.087937488225768,2.509107346401248,2.509107346401248,,,,,,
