method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
classical,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,79998.45913696289,0.007258752530301629,0.007265251119513169,0.007375388818965725,0.3073008480036297,0.307575967174203,0.3122386703449823,-,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,16.13056008130645,19.94669127082623,136.31647721230465,16.1325627732671,19.94530305717947,136.20628182188156,0.0020026919606496445,-0.001388213646758721,-0.11019539042309319,0.31228495441421505,-1.2341594457929084,-1.2341594457929084,,,,,,
quant_diff,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,79998.45913696289,0.014984052378470537,0.014980536422236741,0.01527041273992053,781.363210143388,781.1798659598405,796.2958495675452,diff,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,16.13056008130645,19.94669127082623,136.31647721230465,626.333462987669,783.9038148457477,6287.195532519857,610.2029029063625,763.9571235749214,6150.879055307552,783.4375099560954,3.3387336606823275,3.3387336606823275,29999.119720458984,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,79998.45913696289,0.007258752530301629,0.007265251119513169,0.007375388818965725,0.3073008480036297,0.307575967174203,0.3122386703449823,diff,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,16.13056008130645,19.94669127082623,136.31647721230465,110.76356653817712,166.12652273153157,1367.8140341780927,94.63300645687066,146.17983146070532,1231.4975569657881,164.36629005416563,-1.3267530227747464,-1.3267530227747464,29999.119720458984,0.014980536422236741,781.1798659598405,0.0,0.0,0.0
quant_noon2,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,0.405,0.85,0.6799748024770194,80000.0,80000.0,79998.45913696289,0.014845121631178949,0.0148439907335675,0.015161718828199854,0.4784415839015165,0.47840513634265536,0.4886451556986869,noon2,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,16.13056008130645,19.94669127082623,136.31647721230465,16.133809696348848,19.951266324404735,136.5463977045429,0.0032496150423988023,0.004575053578505827,0.22992049223823893,0.48285572598535226,-1.1304721798617843,-1.1304721798617843,29999.12371826172,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,0.405,0.85,0.6799748024770194,80000.0,80000.0,79998.45913696289,0.007258752530301629,0.007265251119513169,0.007375388818965725,0.3073008480036297,0.307575967174203,0.3122386703449823,noon2,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,16.13056008130645,19.94669127082623,136.31647721230465,16.1325627732671,19.94530305717947,136.20628182188156,0.0020026919606496445,-0.001388213646758721,-0.11019539042309319,0.31228495441421505,-1.2341594457929084,-1.2341594457929084,29999.12371826172,0.0148439907335675,0.47840513634265536,0.0,0.0,0.0
classical,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,80001.29377746582,0.007264214534575262,0.007270728750967962,0.007380104335808849,0.3075320831281335,0.307807863878779,0.3124383027637234,-,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,15.863852317621603,19.983001028833215,140.20670746595619,15.864023898827947,19.984840170356822,140.94373288031775,0.0001715812063424391,0.001839141523608745,0.7370254143615562,0.3107679386105736,0.9118531739426199,0.9118531739426199,,,,,,
quant_diff,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,80001.29377746582,0.014987632948848792,0.01498492931927288,0.015276629683438746,781.5499237168747,781.4089393802537,796.6200403019325,diff,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,15.863852317621603,19.983001028833215,140.20670746595619,622.7016630227865,780.894941402737,6396.826081726748,606.837810705165,760.9119403739038,6256.619374260793,780.6702275893588,-9.5582083358653,-9.5582083358653,30000.8419342041,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,655.2899999999507,0.85,0.6799748024770194,80000.0,80000.0,80001.29377746582,0.007264214534575262,0.007270728750967962,0.007380104335808849,0.3075320831281335,0.307807863878779,0.3124383027637234,diff,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,15.863852317621603,19.983001028833215,140.20670746595619,107.92029141044803,166.28481038151196,1369.1941042498797,92.05643909282642,146.30180935267873,1228.9873967839235,165.41329154024652,-0.2769790222767499,-0.2769790222767499,30000.8419342041,0.01498492931927288,781.4089393802537,0.0,0.0,0.0
quant_noon2,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,0.405,0.85,0.6799748024770194,80000.0,80000.0,80001.29377746582,0.01485479644125736,0.014851566448170019,0.015173887129855313,0.47875339215562596,0.4786492931090104,0.4890373263835806,noon2,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,15.863852317621603,19.983001028833215,140.20670746595619,15.868691715528865,19.989569485141665,141.05260487624318,0.004839397907260317,0.006568456308450168,0.845897410286987,0.4803286367603072,0.9807601040346533,0.9807601040346533,30000.805068969727,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,20.0,1.0,1.0,rayleigh,1.0,0.799970355855317,0.9081069557844099,532.0,810.0,809.0,0.405,0.85,0.6799748024770194,80000.0,80000.0,80001.29377746582,0.007264214534575262,0.007270728750967962,0.007380104335808849,0.3075320831281335,0.307807863878779,0.3124383027637234,noon2,simple,0.6,0.544864173470646,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,15.863852317621603,19.983001028833215,140.20670746595619,15.864023898827947,19.984840170356822,140.94373288031775,0.0001715812063424391,0.001839141523608745,0.7370254143615562,0.3107679386105736,0.9118531739426199,0.9118531739426199,30000.805068969727,0.014851566448170019,0.4786492931090104,0.0,0.0,0.0
